0 FILE 4162pb233.dat
0 Tile 1 x 8 with White Stud Measurements 1-8 Pattern
0 Name:  4162pb233.dat
0 Author:  
0 BL_Item_No 4162pb233
0 BFC CERTIFY CCW
3 16 -74.000 0.000 1.420 -80.000 0.000 10.000 -80.000 0.000 -10.000
3 16 -80.000 0.000 -10.000 -74.000 0.000 -1.120 -74.000 0.000 1.420
3 16 -66.000 0.000 1.420 -60.380 0.000 10.000 -80.000 0.000 10.000
3 16 -80.000 0.000 10.000 -74.000 0.000 1.420 -66.000 0.000 1.420
3 16 -66.000 0.000 1.420 -66.000 0.000 -0.210 -60.380 0.000 -10.000
3 16 -60.380 0.000 -10.000 -60.380 0.000 10.000 -66.000 0.000 1.420
3 16 -72.570 0.000 -0.210 -72.570 0.000 -1.420 -60.380 0.000 -10.000
3 16 -60.380 0.000 -10.000 -66.000 0.000 -0.210 -72.570 0.000 -0.210
3 16 -74.000 0.000 -1.120 -80.000 0.000 -10.000 -60.380 0.000 -10.000
3 16 -60.380 0.000 -10.000 -72.570 0.000 -1.420 -74.000 0.000 -1.120
3 16 -47.410 0.000 2.730 -50.820 0.000 2.660 -50.270 0.000 2.470
3 16 -47.410 0.000 2.730 -50.270 0.000 2.470 -49.440 0.000 1.900
3 16 -47.410 0.000 2.730 -51.520 0.000 2.730 -50.820 0.000 2.660
3 16 -52.590 0.000 0.070 -52.280 0.000 0.810 -52.510 0.000 0.470
3 16 -52.260 0.000 -0.710 -51.930 0.000 1.040 -52.280 0.000 0.810
3 16 -52.280 0.000 0.810 -52.590 0.000 0.070 -52.260 0.000 -0.710
3 16 -50.830 0.000 0.980 -51.510 0.000 1.120 -51.410 0.000 -1.110
3 16 -51.410 0.000 -1.110 -50.190 0.000 0.580 -50.830 0.000 0.980
3 16 -51.510 0.000 1.120 -51.930 0.000 1.040 -52.260 0.000 -0.710
3 16 -52.260 0.000 -0.710 -51.410 0.000 -1.110 -51.510 0.000 1.120
3 16 -51.410 0.000 -1.110 -51.410 0.000 -2.570 -46.000 0.000 -2.730
3 16 -46.000 0.000 -2.730 -50.190 0.000 0.580 -51.410 0.000 -1.110
3 16 -47.410 0.000 2.730 -49.440 0.000 1.900 -47.410 0.000 0.280
3 16 -52.260 0.000 -0.710 -52.590 0.000 0.070 -52.510 0.000 -0.360
3 16 -59.630 0.000 -10.000 -51.410 0.000 -2.570 -52.400 0.000 -2.340
3 16 -59.630 0.000 -10.000 -52.400 0.000 -2.340 -53.220 0.000 -1.750
3 16 -59.630 0.000 -10.000 -53.220 0.000 -1.750 -53.790 0.000 -0.910
3 16 -59.630 0.000 -10.000 -53.790 0.000 -0.910 -54.000 0.000 0.110
3 16 -54.000 0.000 0.110 -59.630 0.000 10.000 -59.630 0.000 -10.000
3 16 -59.630 0.000 10.000 -54.000 0.000 0.110 -53.800 0.000 1.190
3 16 -59.630 0.000 10.000 -53.250 0.000 2.020 -52.460 0.000 2.540
3 16 -59.630 0.000 10.000 -53.800 0.000 1.190 -53.250 0.000 2.020
3 16 -59.630 0.000 10.000 -52.460 0.000 2.540 -51.520 0.000 2.730
3 16 -51.520 0.000 2.730 -47.410 0.000 2.730 -40.380 0.000 10.000
3 16 -40.380 0.000 10.000 -59.630 0.000 10.000 -51.520 0.000 2.730
3 16 -47.410 0.000 2.730 -46.000 0.000 2.730 -40.380 0.000 10.000
3 16 -46.000 0.000 2.730 -46.000 0.000 -2.730 -40.380 0.000 -10.000
3 16 -40.380 0.000 -10.000 -40.380 0.000 10.000 -46.000 0.000 2.730
3 16 -59.630 0.000 -10.000 -40.380 0.000 -10.000 -46.000 0.000 -2.730
3 16 -46.000 0.000 -2.730 -51.410 0.000 -2.570 -59.630 0.000 -10.000
3 16 -29.190 0.000 0.720 -28.360 0.000 1.080 -28.830 0.000 0.990
3 16 -28.360 0.000 1.080 -29.190 0.000 0.720 -27.280 0.000 -0.040
3 16 -27.280 0.000 -0.040 -27.360 0.000 0.410 -28.360 0.000 1.080
3 16 -31.540 0.000 -2.010 -30.590 0.000 -0.190 -31.540 0.000 -1.060
3 16 -29.500 0.000 -0.190 -30.590 0.000 -0.190 -31.540 0.000 -2.010
3 16 -31.540 0.000 -2.010 -28.340 0.000 -1.230 -29.500 0.000 -0.190
3 16 -27.910 0.000 -1.100 -27.570 0.000 -0.830 -29.500 0.000 -0.190
3 16 -29.500 0.000 -0.190 -28.340 0.000 -1.230 -27.910 0.000 -1.100
3 16 -29.780 0.000 2.100 -30.770 0.000 2.240 -30.130 0.000 1.650
3 16 -30.770 0.000 2.240 -29.780 0.000 2.100 -29.370 0.000 2.410
3 16 -29.370 0.000 2.410 -31.620 0.000 2.450 -30.770 0.000 2.240
3 16 -30.590 0.000 -0.190 -30.660 0.000 0.250 -32.230 0.000 -0.720
3 16 -32.230 0.000 -0.720 -31.540 0.000 -1.060 -30.590 0.000 -0.190
3 16 -29.420 0.000 0.320 -27.360 0.000 -0.460 -27.280 0.000 -0.040
3 16 -27.280 0.000 -0.040 -29.190 0.000 0.720 -29.420 0.000 0.320
3 16 -31.620 0.000 2.450 -29.370 0.000 2.410 -28.880 0.000 2.600
3 16 -28.880 0.000 2.600 -39.630 0.000 10.000 -31.620 0.000 2.450
3 16 -27.570 0.000 -0.830 -27.360 0.000 -0.460 -29.420 0.000 0.320
3 16 -29.420 0.000 0.320 -29.500 0.000 -0.190 -27.570 0.000 -0.830
3 16 -31.540 0.000 -2.010 -31.540 0.000 -2.460 -28.340 0.000 -2.670
3 16 -28.340 0.000 -2.670 -28.340 0.000 -1.230 -31.540 0.000 -2.010
3 16 -32.430 0.000 0.300 -32.500 0.000 -0.050 -31.930 0.000 0.810
3 16 -31.930 0.000 0.810 -32.230 0.000 0.600 -32.430 0.000 0.300
3 16 -31.160 0.000 0.800 -31.550 0.000 0.880 -30.660 0.000 0.250
3 16 -30.660 0.000 0.250 -30.850 0.000 0.590 -31.160 0.000 0.800
3 16 -32.230 0.000 -0.720 -30.660 0.000 0.250 -31.550 0.000 0.880
3 16 -32.500 0.000 -0.050 -31.550 0.000 0.880 -31.930 0.000 0.810
3 16 -32.230 0.000 -0.720 -31.550 0.000 0.880 -32.500 0.000 -0.050
3 16 -32.500 0.000 -0.050 -32.430 0.000 -0.420 -32.230 0.000 -0.720
3 16 -27.360 0.000 0.410 -27.580 0.000 0.760 -27.920 0.000 1.000
3 16 -27.920 0.000 1.000 -28.360 0.000 1.080 -27.360 0.000 0.410
3 16 -39.630 0.000 -10.000 -33.700 0.000 -0.900 -33.890 0.000 -0.010
3 16 -33.890 0.000 -0.010 -39.630 0.000 10.000 -39.630 0.000 -10.000
3 16 -20.380 0.000 -10.000 -25.890 0.000 -0.010 -26.070 0.000 -0.970
3 16 -28.340 0.000 -2.670 -31.540 0.000 -2.460 -39.630 0.000 -10.000
3 16 -39.630 0.000 -10.000 -20.380 0.000 -10.000 -28.340 0.000 -2.670
3 16 -20.380 0.000 -10.000 -27.350 0.000 -2.420 -28.340 0.000 -2.670
3 16 -39.630 0.000 10.000 -32.480 0.000 2.270 -31.620 0.000 2.450
3 16 -39.630 0.000 10.000 -33.700 0.000 1.000 -33.200 0.000 1.770
3 16 -39.630 0.000 10.000 -33.890 0.000 -0.010 -33.700 0.000 1.000
3 16 -39.630 0.000 10.000 -33.200 0.000 1.770 -32.480 0.000 2.270
3 16 -39.630 0.000 -10.000 -31.540 0.000 -2.460 -32.460 0.000 -2.220
3 16 -39.630 0.000 10.000 -28.880 0.000 2.600 -28.320 0.000 2.670
3 16 -28.320 0.000 2.670 -20.380 0.000 10.000 -39.630 0.000 10.000
3 16 -20.380 0.000 10.000 -26.090 0.000 1.100 -25.890 0.000 -0.010
3 16 -25.890 0.000 -0.010 -20.380 0.000 -10.000 -20.380 0.000 10.000
3 16 -20.380 0.000 10.000 -26.630 0.000 1.950 -26.090 0.000 1.100
3 16 -20.380 0.000 10.000 -27.410 0.000 2.480 -26.630 0.000 1.950
3 16 -20.380 0.000 10.000 -28.320 0.000 2.670 -27.410 0.000 2.480
3 16 -20.380 0.000 -10.000 -26.580 0.000 -1.810 -27.350 0.000 -2.420
3 16 -39.630 0.000 -10.000 -32.460 0.000 -2.220 -33.200 0.000 -1.670
3 16 -20.380 0.000 -10.000 -26.070 0.000 -0.970 -26.580 0.000 -1.810
3 16 -39.630 0.000 -10.000 -33.200 0.000 -1.670 -33.700 0.000 -0.900
3 16 -8.760 0.000 0.570 -10.790 0.000 0.570 -8.760 0.000 -0.910
3 16 -14.000 0.000 1.480 -14.000 0.000 2.150 -19.630 0.000 10.000
3 16 -19.630 0.000 10.000 -19.630 0.000 -10.000 -14.000 0.000 1.480
3 16 -8.790 0.000 2.150 -8.790 0.000 3.000 -19.630 0.000 10.000
3 16 -19.630 0.000 10.000 -14.000 0.000 2.150 -8.790 0.000 2.150
3 16 -7.380 0.000 3.000 -0.380 0.000 10.000 -19.630 0.000 10.000
3 16 -19.630 0.000 10.000 -8.790 0.000 3.000 -7.380 0.000 3.000
3 16 -7.380 0.000 2.150 -6.000 0.000 2.150 -0.380 0.000 10.000
3 16 -0.380 0.000 10.000 -7.380 0.000 3.000 -7.380 0.000 2.150
3 16 -6.000 0.000 2.150 -6.000 0.000 0.550 -0.380 0.000 -10.000
3 16 -0.380 0.000 -10.000 -0.380 0.000 10.000 -6.000 0.000 2.150
3 16 -0.380 0.000 -10.000 -6.000 0.000 0.550 -7.380 0.000 0.550
3 16 -7.380 0.000 0.550 -7.380 0.000 -3.000 -0.380 0.000 -10.000
3 16 -7.380 0.000 -3.000 -7.860 0.000 -3.000 -19.630 0.000 -10.000
3 16 -19.630 0.000 -10.000 -0.380 0.000 -10.000 -7.380 0.000 -3.000
3 16 -19.630 0.000 -10.000 -7.860 0.000 -3.000 -14.000 0.000 1.480
3 16 11.720 0.000 -1.550 9.610 0.000 -0.240 9.790 0.000 -1.220
3 16 9.790 0.000 -1.220 10.250 0.000 -1.960 11.720 0.000 -1.550
3 16 9.610 0.000 -0.240 11.720 0.000 -1.550 12.370 0.000 -0.940
3 16 12.370 0.000 -0.940 9.720 0.000 0.390 9.610 0.000 -0.240
3 16 7.400 0.000 2.860 7.400 0.000 0.360 8.610 0.000 1.250
3 16 8.610 0.000 1.250 9.180 0.000 2.140 7.400 0.000 2.860
3 16 7.400 0.000 2.860 9.180 0.000 2.140 10.050 0.000 2.740
3 16 7.400 0.000 2.860 10.050 0.000 2.740 11.140 0.000 2.970
3 16 8.410 0.000 0.160 7.400 0.000 0.360 8.410 0.000 0.070
3 16 10.250 0.000 -1.960 12.470 0.000 -2.640 11.720 0.000 -1.550
3 16 11.680 0.000 1.240 12.480 0.000 0.450 12.160 0.000 0.930
3 16 12.590 0.000 -0.130 12.480 0.000 0.450 11.680 0.000 1.240
3 16 11.680 0.000 1.240 11.100 0.000 1.360 12.590 0.000 -0.130
3 16 8.610 0.000 1.250 7.400 0.000 0.360 8.410 0.000 0.160
3 16 10.030 0.000 0.900 9.720 0.000 0.390 11.100 0.000 1.360
3 16 11.100 0.000 1.360 10.500 0.000 1.240 10.030 0.000 0.900
